PROGRAM   |RANK      |TIME ELAPSED
fun3      |1         |45.2446937561 ms
fun2      |2         |69.9985027313 ms
fun1      |3         |95.3409671783 ms
PROGRAM   |RANK      |TIME ELAPSED
fun2      |1         |46.6125011444 ms
fun3      |2         |50.5318641663 ms
fun1      |3         |85.0603580475 ms
PROGRAM   |RANK      |TIME ELAPSED
fun2      |1         |41.4438247681 ms
fun3      |2         |46.0381507874 ms
fun1      |3         |88.9153480530 ms
PROGRAM   |RANK      |TIME ELAPSED
fun2      |1         |14.2078399658 ms
fun3      |2         |42.1996116638 ms
fun1      |3         |54.6298027039 ms
PROGRAM   |RANK      |TIME ELAPSED
fun2      |1         |22.0022201538 ms
fun1      |2         |64.2261505127 ms
fun3      |3         |80.2834033966 ms
PROGRAM   |RANK      |TIME ELAPSED
fun1      |1         |37.0957851410 ms
fun2      |2         |91.7181968689 ms
fun3      |3         |98.8605022430 ms
